alphaID,Asian
1,24
2,11
3,39
4,47
5,19
6,55
7,"2,246"
8,85
9,187
10,95
11,"1,589"
12,70
13,29
14,16
15,52
16,113
17,492
18,13
19,69
20,42
21,29
22,56
23,322
24,54
25,"2,551"
26,27
27,58
28,59
29,252
30,39
31,"1,273"
32,17
33,157
34,121
35,24
36,0
37,40
38,47
39,16
40,342
41,34
42,167
43,39
44,437
45,21
46,23
47,24
48,31
49,79
50,211
51,"1,372"
52,"8,327"
53,84
54,22
55,60
56,180
57,"4,303"
58,286
59,30
60,38
61,157
62,254
63,348
64,"1,183"
65,12
66,10
67,11
68,45
69,3
70,533
71,119
72,16
73,183
74,37
75,85
76,9
77,"17,835"
78,574
79,391
80,24
81,0
82,"3,892"
83,58
84,254
85,"6,132"
86,46
87,38
88,42
89,18
90,317
91,183
92,101
93,4
94,406
95,115
96,259
97,"2,681"
98,12
99,65
