alphaID,County,Asian
1,"Adair County, Iowa",24
2,"Adams County, Iowa",11
3,"Allamakee County, Iowa",39
4,"Appanoose County, Iowa",47
5,"Audubon County, Iowa",19
6,"Benton County, Iowa",55
7,"Black Hawk County, Iowa","2,246"
8,"Boone County, Iowa",85
9,"Bremer County, Iowa",187
10,"Buchanan County, Iowa",95
11,"Buena Vista County, Iowa","1,589"
12,"Butler County, Iowa",70
13,"Calhoun County, Iowa",29
14,"Carroll County, Iowa",16
15,"Cass County, Iowa",52
16,"Cedar County, Iowa",113
17,"Cerro Gordo County, Iowa",492
18,"Cherokee County, Iowa",13
19,"Chickasaw County, Iowa",69
20,"Clarke County, Iowa",42
21,"Clay County, Iowa",29
22,"Clayton County, Iowa",56
23,"Clinton County, Iowa",322
24,"Crawford County, Iowa",54
25,"Dallas County, Iowa","2,551"
26,"Davis County, Iowa",27
27,"Decatur County, Iowa",58
28,"Delaware County, Iowa",59
29,"Des Moines County, Iowa",252
30,"Dickinson County, Iowa",39
31,"Dubuque County, Iowa","1,273"
32,"Emmet County, Iowa",17
33,"Fayette County, Iowa",157
34,"Floyd County, Iowa",121
35,"Franklin County, Iowa",24
36,"Fremont County, Iowa",0
37,"Greene County, Iowa",40
38,"Grundy County, Iowa",47
39,"Guthrie County, Iowa",16
40,"Hamilton County, Iowa",342
41,"Hancock County, Iowa",34
42,"Hardin County, Iowa",167
43,"Harrison County, Iowa",39
44,"Henry County, Iowa",437
45,"Howard County, Iowa",21
46,"Humboldt County, Iowa",23
47,"Ida County, Iowa",24
48,"Iowa County, Iowa",31
49,"Jackson County, Iowa",79
50,"Jasper County, Iowa",211
51,"Jefferson County, Iowa","1,372"
52,"Johnson County, Iowa","8,327"
53,"Jones County, Iowa",84
54,"Keokuk County, Iowa",22
55,"Kossuth County, Iowa",60
56,"Lee County, Iowa",180
57,"Linn County, Iowa","4,303"
58,"Louisa County, Iowa",286
59,"Lucas County, Iowa",30
60,"Lyon County, Iowa",38
61,"Madison County, Iowa",157
62,"Mahaska County, Iowa",254
63,"Marion County, Iowa",348
64,"Marshall County, Iowa","1,183"
65,"Mills County, Iowa",12
66,"Mitchell County, Iowa",10
67,"Monona County, Iowa",11
68,"Monroe County, Iowa",45
69,"Montgomery County, Iowa",3
70,"Muscatine County, Iowa",533
71,"O'Brien County, Iowa",119
72,"Osceola County, Iowa",16
73,"Page County, Iowa",183
74,"Palo Alto County, Iowa",37
75,"Plymouth County, Iowa",85
76,"Pocahontas County, Iowa",9
77,"Polk County, Iowa","17,835"
78,"Pottawattamie County, Iowa",574
79,"Poweshiek County, Iowa",391
80,"Ringgold County, Iowa",24
81,"Sac County, Iowa",0
82,"Scott County, Iowa","3,892"
83,"Shelby County, Iowa",58
84,"Sioux County, Iowa",254
85,"Story County, Iowa","6,132"
86,"Tama County, Iowa",46
87,"Taylor County, Iowa",38
88,"Union County, Iowa",42
89,"Van Buren County, Iowa",18
90,"Wapello County, Iowa",317
91,"Warren County, Iowa",183
92,"Washington County, Iowa",101
93,"Wayne County, Iowa",4
94,"Webster County, Iowa",406
95,"Winnebago County, Iowa",115
96,"Winneshiek County, Iowa",259
97,"Woodbury County, Iowa","2,681"
98,"Worth County, Iowa",12
99,"Wright County, Iowa",65
