County,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races:
"Adair County, Iowa","7,312",27,2,24,0,13,48
"Adams County, Iowa","3,788",27,2,11,0,0,64
"Allamakee County, Iowa","13,592",99,29,39,3,46,252
"Appanoose County, Iowa","12,347",43,4,47,0,13,215
"Audubon County, Iowa","5,732",19,39,19,0,0,60
"Benton County, Iowa","25,226",181,8,55,0,65,268
"Black Hawk County, Iowa","112,912","12,130",327,"2,246",23,"1,997","2,861"
"Boone County, Iowa","25,658",235,54,85,10,30,329
"Bremer County, Iowa","23,737",269,49,187,45,60,192
"Buchanan County, Iowa","20,514",79,73,95,0,78,159
"Buena Vista County, Iowa","16,611",590,6,"1,589",181,"1,119",411
"Butler County, Iowa","14,702",59,20,70,0,0,115
"Calhoun County, Iowa","9,533",134,44,29,0,21,153
"Carroll County, Iowa","20,025",314,14,16,7,69,184
"Cass County, Iowa","13,253",57,45,52,14,49,120
"Cedar County, Iowa","17,871",72,14,113,0,53,252
"Cerro Gordo County, Iowa","41,325",544,98,492,0,249,773
"Cherokee County, Iowa","11,534",54,42,13,0,23,187
"Chickasaw County, Iowa","12,009",67,9,69,0,23,67
"Clarke County, Iowa","8,910",13,0,42,0,247,68
"Clay County, Iowa","15,857",118,18,29,63,200,252
"Clayton County, Iowa","17,384",166,9,56,0,12,179
"Clinton County, Iowa","45,280","1,352",197,322,0,285,929
"Crawford County, Iowa","15,790",209,148,54,31,616,404
"Dallas County, Iowa","68,894",843,50,"2,551",68,926,"1,560"
"Davis County, Iowa","8,612",18,0,27,0,0,85
"Decatur County, Iowa","7,875",139,42,58,13,11,111
"Delaware County, Iowa","17,202",39,3,59,0,7,197
"Des Moines County, Iowa","36,545","2,194",45,252,0,128,"1,044"
"Dickinson County, Iowa","16,583",52,23,39,33,30,207
"Dubuque County, Iowa","89,788","1,862",91,"1,273",300,210,"2,382"
"Emmet County, Iowa","9,575",149,38,17,10,38,90
"Fayette County, Iowa","19,790",223,105,157,0,39,275
"Floyd County, Iowa","15,202",325,1,121,7,58,336
"Franklin County, Iowa","9,660",112,7,24,0,555,131
"Fremont County, Iowa","6,880",21,45,0,0,60,100
"Greene County, Iowa","8,982",5,4,40,3,0,140
"Grundy County, Iowa","12,196",51,16,47,0,13,84
"Guthrie County, Iowa","10,495",81,12,16,25,49,62
"Hamilton County, Iowa","14,326",102,0,342,0,357,170
"Hancock County, Iowa","10,769",72,14,34,8,45,150
"Hardin County, Iowa","16,659",178,48,167,0,171,170
"Harrison County, Iowa","14,125",8,58,39,4,34,199
"Henry County, Iowa","18,471",478,56,437,0,239,399
"Howard County, Iowa","9,328",31,1,21,0,10,103
"Humboldt County, Iowa","9,477",13,7,23,0,20,134
"Ida County, Iowa","6,913",39,34,24,0,20,41
"Iowa County, Iowa","16,010",137,7,31,11,23,125
"Jackson County, Iowa","19,044",35,13,79,117,10,274
"Jasper County, Iowa","35,318",542,106,211,14,51,484
"Jefferson County, Iowa","14,744",246,14,"1,372",0,367,575
"Johnson County, Iowa","117,331","7,596",309,"8,327",202,"2,717","2,954"
"Jones County, Iowa","19,658",394,176,84,0,75,173
"Keokuk County, Iowa","10,066",0,27,22,1,49,126
"Kossuth County, Iowa","14,925",57,13,60,0,54,171
"Lee County, Iowa","33,033","1,068",35,180,0,204,849
"Linn County, Iowa","194,427","9,147",527,"4,303",33,"2,034","6,169"
"Louisa County, Iowa","10,398",103,26,286,11,380,67
"Lucas County, Iowa","8,535",20,22,30,0,0,124
"Lyon County, Iowa","11,410",7,67,38,2,96,103
"Madison County, Iowa","15,242",91,13,157,11,32,98
"Mahaska County, Iowa","21,380",310,47,254,8,98,299
"Marion County, Iowa","32,015",182,58,348,0,139,506
"Marshall County, Iowa","34,575",709,145,"1,183",0,"3,666",684
"Mills County, Iowa","14,496",107,61,12,0,6,180
"Mitchell County, Iowa","10,633",15,2,10,0,12,90
"Monona County, Iowa","8,826",49,117,11,0,6,79
"Monroe County, Iowa","7,587",11,2,45,0,129,228
"Montgomery County, Iowa","10,032",0,19,3,0,136,275
"Muscatine County, Iowa","39,454",664,104,533,25,"1,028","1,105"
"O'Brien County, Iowa","13,359",72,29,119,2,337,174
"Osceola County, Iowa","5,933",25,22,16,0,165,50
"Page County, Iowa","14,804",331,61,183,0,27,254
"Palo Alto County, Iowa","8,950",116,8,37,0,10,87
"Plymouth County, Iowa","24,060",126,26,85,75,237,244
"Pocahontas County, Iowa","6,878",97,4,9,8,41,90
"Polk County, Iowa","386,251","28,241","1,203","17,835",307,"6,814","11,718"
"Pottawattamie County, Iowa","88,038","1,200",291,574,6,"1,160","1,944"
"Poweshiek County, Iowa","17,738",217,24,391,21,47,267
"Ringgold County, Iowa","4,949",12,28,24,0,1,47
"Sac County, Iowa","9,889",71,2,0,3,32,104
"Scott County, Iowa","146,516","13,115",434,"3,892",16,"1,679","4,342"
"Shelby County, Iowa","11,521",23,13,58,0,203,174
"Sioux County, Iowa","31,934",150,86,254,6,"1,701",378
"Story County, Iowa","82,374","2,274",173,"6,132",31,317,"2,285"
"Tama County, Iowa","15,501",89,"1,273",46,5,225,340
"Taylor County, Iowa","5,957",13,18,38,0,108,79
"Union County, Iowa","12,244",124,51,42,14,1,99
"Van Buren County, Iowa","7,278",45,9,18,0,6,76
"Wapello County, Iowa","32,494",728,55,317,7,"1,239",475
"Warren County, Iowa","46,034",239,98,183,51,177,760
"Washington County, Iowa","21,112",183,2,101,12,255,352
"Wayne County, Iowa","6,235",30,20,4,0,0,95
"Webster County, Iowa","34,283","1,604",144,406,0,276,582
"Winnebago County, Iowa","10,168",98,80,115,1,38,114
"Winneshiek County, Iowa","20,189",198,62,259,0,62,114
"Woodbury County, Iowa","87,371","2,862","1,859","2,681",20,"4,728","3,009"
"Worth County, Iowa","7,351",73,10,12,0,19,98
"Wright County, Iowa","12,247",49,31,65,14,367,163
